station_no,name_tw,parking_spaces,lat,lng
500105073,辛亥路四段77巷口,14,25.00743,121.55877
500105074,景興路42巷口,12,24.99696,121.54454
500105075,木柵路三段48巷,15,24.98768,121.56565
500105076,木柵路二段109巷,15,24.98944,121.56195
500105077,試院公園,15,24.98808,121.54723
500105079,樟樹公園,15,24.9825,121.55949
500105080,萬美萬安街口,16,25.00223,121.57039
500105081,興隆路二段203巷(敦南),27,25.00198,121.54856
500105082,新光秀明路口,15,24.99197,121.57371
500105083,光輝路134巷口,15,24.98532,121.55831
500105084,光輝公園,15,24.98655,121.5552
500105085,木新公園,12,24.98217,121.55782
500105086,興隆路二段275巷1弄口,16,25.00268,121.55277
500105087,中國科技大學,21,24.99925,121.55553
500105088,樟新街8巷,17,24.97932,121.55406
500105089,仙岩路22巷口,28,24.99892,121.54887
500105090,木柵萬芳路口,18,24.99509,121.57199
500105091,福興路78巷,14,25.00437,121.55048
500106001,臺北自來水事業處,20,25.013741,121.53068
500106002,汀州思源街口東南側,20,25.014697,121.531908
500106003,捷運公館站(1號出口),12,25.014529,121.534374
500106004,捷運公館站(4號出口),12,25.015069,121.533828
500106005,捷運古亭站(9號出口),20,25.02694,121.52224
500106006,捷運古亭站(2號出口),55,25.0255,121.52346
500106007,捷運臺電大樓站(1號出口),34,25.0197,121.529
500106008,客家文化主題公園,15,25.02069,121.52456
500106009,河堤國小,39,25.02277,121.52289
500106010,紀州庵,25,25.02092,121.52049
500106011,捷運臺電大樓站(5號出口),14,25.02075,121.52771
500106012,捷運臺電大樓站(4號出口),13,25.02102,121.52751
500106013,羅斯福三段金門街口,15,25.02345,121.52498
500106014,牯嶺公園,58,25.02338,121.51889
500106015,捷運古亭站(8號出口),15,25.02701,121.52164
500106016,捷運古亭站(7號出口),12,25.02805,121.52155
500106017,南昌公園,55,25.02698,121.52081
500106018,和平重慶路口,46,25.02723,121.51659
500106019,孫立人將軍官邸,23,25.02933,121.51854
500106020,羅斯福路二段6巷口,14,25.02923,121.52058
500106021,金華杭州南路口,21,25.031,121.52211
500106022,捷運中正紀念堂站(3號出口),18,25.03239,121.51866
500106023,捷運中正紀念堂站(4號出口),21,25.03376,121.51772
500106025,螢橋國小,41,25.02609,121.51389
500106026,古亭智慧圖書館,14,25.02543,121.51052
500106027,永昌公園,15,25.02643,121.50936
500106028,中華路二段409巷口,15,25.02598,121.50806
500106029,南機場夜市(中華路二段),41,25.02886,121.50518
500106030,南海和平路口西南側,19,25.03024,121.50904
500106031,莒光和平路口,20,25.03132,121.50745
500106037,水源路11-1號旁,19,25.01602,121.52565
500106038,南門國中,29,25.03543,121.50834
500106039,捷運小南門站(2號出口),18,25.03567,121.51006
500106040,介壽公園,23,25.03907,121.5138
500106041,中華貴陽街口,20,25.03938,121.50772
500106042,華山文創園區,39,25.04367,121.52849
500106043,捷運善導寺站(1號出口),33,25.04527,121.5222
500106044,濟南紹興路口,39,25.04193,121.52459
500106046,林森仁愛路口,13,25.03915,121.52163
500106047,中正運動中心,39,25.03786,121.51985
500106048,信義杭州路口,59,25.0357,121.5241
500106049,捷運善導寺站(3號出口),20,25.04428,121.52336
500106050,捷運小南門站(1號出口),46,25.03648,121.50951
500106051,延平南路133巷口,17,25.03792,121.50846
500106052,捷運西門站(2號出口),36,25.0416,121.50842
500106053,寶慶博愛路口,27,25.04129,121.5112
500106054,法務部,27,25.03705,121.51249
500106055,臺北市立大學(博愛校區),59,25.03545,121.51327
500106056,國家圖書館,36,25.03763,121.51709
500106057,市民金山路口,30,25.0459,121.53068
500106058,聯合醫院和平院區,32,25.03516,121.50641
500106059,中山堂,43,25.04412,121.51025
500106060,中華漢口街口,19,25.04533,121.50944
500106061,中華路一段21巷口,22,25.04677,121.50989
500106062,捷運臺大醫院站(4號出口),60,25.04297,121.51643
500106063,寶藏巖觀音亭,23,25.01027,121.5331
500106064,師大水源路口,21,25.0203,121.52302
