站點編號,2月20日見車率,3月22日見車率,對應站名,消長幅度,色票,分類,lat,lng
500104006,92.96%,92.59%,天和公園,-0.37%,#FEDD88,90%以上、未滿100%,25.12001,121.53342
500104007,91.76%,97.50%,中山天母路口,5.74%,#FEDD88,90%以上、未滿100%,25.11856,121.52964
500104008,97.69%,99.44%,天母運動公園,1.76%,#FEDD88,90%以上、未滿100%,25.11633,121.53414
500104009,98.06%,96.48%,臺北市立大學(天母校區),-1.57%,#FEDD88,90%以上、未滿100%,25.11356,121.53718
500104010,92.59%,91.85%,忠誠路二段53巷,-0.74%,#FEDD88,90%以上、未滿100%,25.11127,121.53244
500104012,100.00%,94.91%,天母棒球場,-5.09%,#FEDD88,90%以上、未滿100%,25.11341,121.53195
500104013,79.81%,81.48%,天母北天玉街口,1.67%,#F0D5BE,+5%以內,25.12011,121.52652
500104014,100.00%,97.22%,蘭興公園,-2.78%,#FEDD88,90%以上、未滿100%,25.11184,121.52589
500104015,59.35%,99.35%,明勝公園,40.00%,#FEDD88,90%以上、未滿100%,25.08009,121.51895
500104016,57.69%,65.65%,劍潭海外青年活動中心,7.96%,#E3BE98,+5%至10%,25.07994,121.52426
500104018,91.57%,97.78%,忠誠路一段173巷口,6.20%,#FEDD88,90%以上、未滿100%,25.10813,121.5304
500104019,83.15%,97.31%,雨農國小,14.17%,#FEDD88,90%以上、未滿100%,25.1054,121.5295
500104020,73.33%,87.31%,忠誠公園,13.98%,#C09662,+10%以上,25.10399,121.52593
500104021,90.74%,96.76%,芝山抽水站,6.02%,#FEDD88,90%以上、未滿100%,25.10155,121.52832
500104022,59.81%,92.41%,至誠路一段305巷口,32.59%,#FEDD88,90%以上、未滿100%,25.10186,121.53083
500104023,80.74%,92.59%,華齡公園,11.85%,#FEDD88,90%以上、未滿100%,25.08302,121.52069
500104024,99.72%,98.33%,前港公園(福德宮),-1.39%,#FEDD88,90%以上、未滿100%,25.08671,121.52096
